Name;address;Link;categoria;tags;da provare;;
Pescheria Ristorante Gallina;Piazza della Repubblica, 14 10152 Turin Italy;Map;ristorante pesce;;no;si;
La Pergola;Via dei Magoni 9, 05018 Orvieto, Province of Terni, Italy;Map;ristorante;dehor;no;no;
Smith's British;Via Virle, 19, 10138 Torino;Map;ristorante;;no;;
La Cantina in Collina;Via Marconi 9, 15040 Cuccaro Monferrato, Province of Alessandria, Italy;Map;ristorante;dehor;no;;
Agriturismo Ca' Brusa;Località Manzoni, 26 12065 Monforte d'Alba Italy;Map;ristorante;dehor;no;;
Ramos Generales;Avenida Maipú, Ushuaia, Tierra del Fuego, Argentina;Map;caffè;;no;;
La Zaina Restaurant;Calle Gobernador Gregores 1057, El Calafate, 9405 Santa Cruz, Argentina;Map;ristorante;;no;;
Str.eat;Via Santa Giulia 21/F, 10124 Torino, Italy;Map;ristorante;;no;;
5esquinas trattoria;Habana 104 esq cuarteles Habana Vieja, L'Avana 10400;Map;brunch;caffè;no;;
Brooklyn Bowl;61 Wythe Ave, Brooklyn, NY  11249, United States;Map;pub;burger;no;;
Mercato di Colón;Carrer de Jorge Juan, 19, 46004 València, Spagna;Map;caffè;"pasticceria;aperitivo";no;;
Horchatería Santa Catalina;Plaza de Santa Catalina, 6, 46001 Valencia, València, Spain;Map;caffè;pasticceria;no;;
L'Entrée des Artistes;Place du Grand Sablon 42 1000 Brussels Belgium;Map;ristorante;;no;;
Connery Pub;Via Frejus 123, 10139 Turin, Italy;Map;pub;;no;;
Il Deposito Bistrot;Via Ercole Ricotti 1, 10153 Torino, Italy;Map;ristorante;;no;;
Scannabue Caffè Restaurant;Largo Saluzzo, 25H, 10125 Torino;Map;ristorante;;no;;
La Gallina Scannata;Largo Saluzzo 25/F, 10125 Torino, Turin, Italy;Map;ristorante pesce;caro;no;;
Dogana Torino;Via Rocciamelone 12/A, 10143 Torino, Italy;Map;pub;;no;;
Buvette;42 Grove St, New York, NY  10014, United States;Map;ristorante;;no;;
Caffè borghese;Piazza Giuseppe Episcopo, 23, 73037 Poggiardo LE;Map;ristorante pesce;;no;;
Spaans Dak;Maurits Noëstraat 2, 3050 Oud-Heverlee, Belgium;Map;ristorante;caro;no;;
Magazzino 52;Via Giolitti 52/A, 10123 Torino;Map;ristorante;caro;no;;
Lentini's Corso Moncalieri;Corso Moncalieri, 205, 10133 Torino;Map;ristorante;;no;;
Birilli;Strada Comunale Val S. Martino, 6, 10131 Torino;Map;ristorante;;no;;
Taj Mahal;Via Nizza, 39bis, 10125 Torino;Map;etnico;etnico;no;;
Curry Zone;Via Vincenzo Gioberti 4, 10128 Torino, Turin, Italy;Map;ristorante;etnico;no;;
Greek Food Lab;Via Claudio Luigi Berthollet 6, 10125 Torino, Turin, Italy;Map;etnico;etnico;no;;
Greek Passion;Corso Francia, 201, 10139 Torino TO, Italia;Map;etnico;etnico;no;;
Revolucion;Corso Casale 194, 10132 Torino, Turin, Italy;Map;etnico;ristorante;no;;
Las Rosas cucina messicana dal 1993;Via Gian Francesco Bellezia, 15/f, 10122 Torino;Map;etnico;ristorante;no;;
Origami Japanese Restaurant;Piazza Vittorio Veneto 18/F, 10123 Torino, Turin, Italy;Map;sushi-poke;dehor;no;;
Tokyo Zen;Via S. Massimo, 34, 10123 Torino;Map;sushi-poke;;no;;
Pacifik Poke Restaurant;Corso Monte Grappa, 33/D, 10145 Torino TO;Map;sushi-poke;"etnico;asporto";no;;
Kirkuk Kaffè;Via Carlo Alberto 16, 10123 Turin, Italy;Map;etnico;etnico;no;;
Japs•cucinagiapponese;Corso Dante 53, 10126 Torino;Map;sushi-poke;asporto;no;;
